"Article";"Brand";"CrossArticle";"CrossBrand"
"1581";"Benpart";"GT17612";"Gen-Tech"
"1583";"Benpart";"GT17612";"Gen-Tech"
"1583";"Benpart";"GT17635";"Gen-Tech"
"1581";"Benpart";"GT17635";"Gen-Tech"
"1583";"Benpart";"09-1844-00";"TRW"
"1581";"Benpart";"09-1844-00";"TRW"
"GT17635";"Gen-Tech";"1583";"Benpart"
"GT17635";"Gen-Tech";"1581";"Benpart"
"GT17612";"Gen-Tech";"1581";"Benpart"
"GT17612";"Gen-Tech";"1583";"Benpart"
"GT17612";"Gen-Tech";"09-1844-00";"TRW"
"GT17635";"Gen-Tech";"09-1844-00";"TRW"
"09-1844-00";"TRW";"1581";"Benpart"
"09-1844-00";"TRW";"1583";"Benpart"
"09-1844-00";"TRW";"GT17612";"Gen-Tech"
"09-1844-00";"TRW";"GT17635";"Gen-Tech"
"AEB92325 STD";"AE";"VPR 92325 A";"Glacier Vandervell"
"AEB92325 STD";"AE";"01-3584/4 STD";"Glyco"
"AEB92325 STD";"AE";"CBS/4-1300AL STD";"Goetze"
"AEB92325 STD";"AE";"87 436 600";"KS"
"AEB92325 STD";"AE";"001 PS 10701 000";"Mahle"
"AEB92325 STD";"AE";"61-1050-00";"NE"
"VPR 92325 A";"Glacier Vandervell";"AEB92325 STD";"AE"
"VPR 92325 A";"Glacier Vandervell";"01-3584/4 STD";"Glyco"
"VPR 92325 A";"Glacier Vandervell";"CBS/4-1300AL STD";"Goetze"
"VPR 92325 A";"Glacier Vandervell";"87 436 600";"KS"
"VPR 92325 A";"Glacier Vandervell";"001 PS 10701 000";"Mahle"
"VPR 92325 A";"Glacier Vandervell";"61-1050-00";"NE"
"01-3584/4 STD";"Glyco";"AEB92325 STD";"AE"
"01-3584/4 STD";"Glyco";"VPR 92325 A";"Glacier Vandervell"
"01-3584/4 STD";"Glyco";"CBS/4-1300AL STD";"Goetze"
"01-3584/4 STD";"Glyco";"87 436 600";"KS"
"01-3584/4 STD";"Glyco";"001 PS 10701 000";"Mahle"
"01-3584/4 STD";"Glyco";"61-1050-00";"NE"
"CBS/4-1300AL STD";"Goetze";"AEB92325 STD";"AE"
"CBS/4-1300AL STD";"Goetze";"VPR 92325 A";"Glacier Vandervell"
"CBS/4-1300AL STD";"Goetze";"01-3584/4 STD";"Glyco"
"CBS/4-1300AL STD";"Goetze";"87 436 600";"KS"
"CBS/4-1300AL STD";"Goetze";"001 PS 10701 000";"Mahle"
"CBS/4-1300AL STD";"Goetze";"61-1050-00";"NE"
"87 436 600";"KS";"AEB92325 STD";"AE"
"87 436 600";"KS";"VPR 92325 A";"Glacier Vandervell"
"87 436 600";"KS";"01-3584/4 STD";"Glyco"
"87 436 600";"KS";"CBS/4-1300AL STD";"Goetze"
"87 436 600";"KS";"001 PS 10701 000";"Mahle"
"87 436 600";"KS";"61-1050-00";"NE"
"001 PS 10701 000";"Mahle";"AEB92325 STD";"AE"
"001 PS 10701 000";"Mahle";"VPR 92325 A";"Glacier Vandervell"
"001 PS 10701 000";"Mahle";"01-3584/4 STD";"Glyco"
"001 PS 10701 000";"Mahle";"CBS/4-1300AL STD";"Goetze"
"001 PS 10701 000";"Mahle";"87 436 600";"KS"
"001 PS 10701 000";"Mahle";"61-1050-00";"NE"
"61-1050-00";"NE";"AEB92325 STD";"AE"
"61-1050-00";"NE";"VPR 92325 A";"Glacier Vandervell"
"61-1050-00";"NE";"01-3584/4 STD";"Glyco"
"61-1050-00";"NE";"CBS/4-1300AL STD";"Goetze"
"61-1050-00";"NE";"87 436 600";"KS"
"61-1050-00";"NE";"001 PS 10701 000";"Mahle"
"1739/6";"BCD";"PBS210";"GP"
"1739/6";"BCD";"PB312";"Savara"
"1739/6";"BCD";"113 127 025 A";"VAG"
"PBS210";"GP";"1739/6";"BCD"
"PBS210";"GP";"PB312";"Savara"
"PBS210";"GP";"113 127 025 A";"VAG"
"PB312";"Savara";"1739/6";"BCD"
"PB312";"Savara";"PBS210";"GP"
"PB312";"Savara";"113 127 025 A";"VAG"
"113 127 025 A";"VAG";"1739/6";"BCD"
"113 127 025 A";"VAG";"PBS210";"GP"
"113 127 025 A";"VAG";"PB312";"Savara"
"FP 434";"4max";"2571/7";"BCD"
"FP 434";"4max";"PBS323";"GP"
"2571/7";"BCD";"FP 434";"4max"
"2571/7";"BCD";"PBS323";"GP"
"PBS323";"GP";"FP 434";"4max"
"PBS323";"GP";"2571/7";"BCD"
"2 007 014 006";"Bosch";"BSX444";"Cargo"
"2 007 014 006";"Bosch";"87 070 006";"Monark"
"2 007 014 006";"Bosch";"87 070 006d";"Monark"
"BSX444";"Cargo";"2 007 014 006";"Bosch"
"BSX444";"Cargo";"87 070 006";"Monark"
"BSX444";"Cargo";"87 070 006d";"Monark"
"87 070 006d";"Monark";"2 007 014 006";"Bosch"
"87 070 006";"Monark";"2 007 014 006";"Bosch"
"87 070 006d";"Monark";"BSX444";"Cargo"
"87 070 006";"Monark";"BSX444";"Cargo"
"0900004066";"Beru";"W7DTC";"Bosch"
"14-7DTU";"Beru";"0 241 235 633";"Bosch"
"Z75";"Beru";"0 241 235 633";"Bosch"
"Z75";"Beru";"0 241 235 643";"Bosch"
"0001330104";"Beru";"0 241 235 633";"Bosch"
"14-7DTU";"Beru";"W7DTC";"Bosch"
"14G-8DTU";"Beru";"W7DTC";"Bosch"
"0001335709";"Beru";"W7DTC";"Bosch"
"14-7DTU";"Beru";"0 241 235 643";"Bosch"
"0001335709";"Beru";"0 241 235 633";"Bosch"
"0001335709";"Beru";"0 241 235 643";"Bosch"
"Z75";"Beru";"W7DTC";"Bosch"
"0900004066";"Beru";"0 241 235 633";"Bosch"
"0001330104";"Beru";"W7DTC";"Bosch"
"0900004066";"Beru";"0 241 235 643";"Bosch"
"0001330104";"Beru";"0 241 235 643";"Bosch"
"Z12";"Beru";"0 241 235 643";"Bosch"
"Z12";"Beru";"0 241 235 633";"Bosch"
"14G-8DTU";"Beru";"0 241 235 643";"Bosch"
"14G-8DTU";"Beru";"0 241 235 633";"Bosch"
"Z12";"Beru";"W7DTC";"Bosch"
"14-7DTU";"Beru";"100000001101AC";"Dello"
"0001335709";"Beru";"100000001101AC";"Dello"
"Z75";"Beru";"100000001101AC";"Dello"
"Z12";"Beru";"100000001101AC";"Dello"
"14G-8DTU";"Beru";"100000001101AC";"Dello"
"0001330104";"Beru";"100000001101AC";"Dello"
"0900004066";"Beru";"100000001101AC";"Dello"
"Z12";"Beru";"261003";"DTW"
"0001330104";"Beru";"261003";"DTW"
"Z75";"Beru";"261003";"DTW"
"0001335709";"Beru";"261003";"DTW"
"14G-8DTU";"Beru";"261003";"DTW"
"0900004066";"Beru";"261003";"DTW"
"14-7DTU";"Beru";"261003";"DTW"
"Z12";"Beru";"107 123 FR5";"Hans Pries"
"14G-8DTU";"Beru";"107 123 755";"Hans Pries"
"0900004066";"Beru";"107 123 755";"Hans Pries"
"0900004066";"Beru";"107 123 FR5";"Hans Pries"
"Z12";"Beru";"107 123 CN5";"Hans Pries"
"Z12";"Beru";"107 123 755";"Hans Pries"
"0900004066";"Beru";"107 123 CN5";"Hans Pries"
"14-7DTU";"Beru";"107 123 755";"Hans Pries"
"14-7DTU";"Beru";"107 123 FR5";"Hans Pries"
"Z75";"Beru";"107 123 FR5";"Hans Pries"
"14G-8DTU";"Beru";"107 123 FR5";"Hans Pries"
"Z75";"Beru";"107 123 445";"Hans Pries"
"14G-8DTU";"Beru";"107 123 CN5";"Hans Pries"
"14-7DTU";"Beru";"107 123 445";"Hans Pries"
"Z12";"Beru";"107 123 445";"Hans Pries"
"Z75";"Beru";"107 123 755";"Hans Pries"
"14G-8DTU";"Beru";"107 123 445";"Hans Pries"
"Z75";"Beru";"107 123 CN5";"Hans Pries"
"14-7DTU";"Beru";"107 123 CN5";"Hans Pries"
"0001330104";"Beru";"107 123 445";"Hans Pries"
"0001330104";"Beru";"107 123 FR5";"Hans Pries"
"0900004066";"Beru";"107 123 445";"Hans Pries"
"0001335709";"Beru";"107 123 445";"Hans Pries"
"0001335709";"Beru";"107 123 FR5";"Hans Pries"
"0001335709";"Beru";"107 123 CN5";"Hans Pries"
"0001335709";"Beru";"107 123 755";"Hans Pries"
"0001330104";"Beru";"107 123 CN5";"Hans Pries"
"0001330104";"Beru";"107 123 755";"Hans Pries"
"Z12";"Beru";"BP6ET";"NGK"
"Z75";"Beru";"BP 5 EK-A";"NGK"
"0900004066";"Beru";"BP6ET";"NGK"
"0001335709";"Beru";"BP 5 EK-A";"NGK"
"0001330104";"Beru";"BP6ET";"NGK"
"0001335709";"Beru";"BP6ET";"NGK"
"Z75";"Beru";"BP6ET";"NGK"
"14G-8DTU";"Beru";"BP 5 EK-A";"NGK"
"Z12";"Beru";"BP 5 EK-A";"NGK"
"0001330104";"Beru";"BP 5 EK-A";"NGK"
"14-7DTU";"Beru";"BP 5 EK-A";"NGK"
"0900004066";"Beru";"BP 5 EK-A";"NGK"
"14-7DTU";"Beru";"BP6ET";"NGK"
"14G-8DTU";"Beru";"BP6ET";"NGK"
"14-7DTU";"Beru";"000 057 067 A";"VAG"
"14G-8DTU";"Beru";"101 000 005 AB";"VAG"
"14-7DTU";"Beru";"101 000 001 AC";"VAG"
"Z75";"Beru";"101 000 001 AC";"VAG"
"14-7DTU";"Beru";"101 000 005 AB";"VAG"
"0001335709";"Beru";"101 000 005 AB";"VAG"
"0001330104";"Beru";"000 057 067 A";"VAG"
"Z75";"Beru";"101 000 005 AB";"VAG"
"0001330104";"Beru";"101 000 005 AB";"VAG"
"Z75";"Beru";"000 057 067 A";"VAG"
"14G-8DTU";"Beru";"101 000 001 AC";"VAG"
"Z12";"Beru";"101 000 005 AB";"VAG"
"Z12";"Beru";"101 000 001 AC";"VAG"
"Z12";"Beru";"000 057 067 A";"VAG"
"0900004066";"Beru";"000 057 067 A";"VAG"
"0001335709";"Beru";"101 000 001 AC";"VAG"
"0001335709";"Beru";"000 057 067 A";"VAG"
"0900004066";"Beru";"101 000 001 AC";"VAG"
"0900004066";"Beru";"101 000 005 AB";"VAG"
"0001330104";"Beru";"101 000 001 AC";"VAG"
"14G-8DTU";"Beru";"000 057 067 A";"VAG"
"0001330104";"Beru";"99-75-0006";"Vemo"
"14G-8DTU";"Beru";"V99-75-0006";"Vemo"
"Z12";"Beru";"99-75-0006";"Vemo"
"Z12";"Beru";"V99-75-0006";"Vemo"
